iter	Passed	Remaining
0	141	14041
1	142	7002
2	144	4668
3	145	3486
4	146	2775
5	146	2300
6	147	1960
7	148	1704
8	148	1505
9	149	1346
10	150	1216
11	151	1108
12	151	1017
13	153	939
14	153	871
15	154	810
16	155	757
17	155	709
18	156	666
19	157	628
20	157	593
21	158	561
22	159	532
23	159	505
24	160	481
25	160	458
26	161	436
27	162	416
28	162	398
29	163	381
30	163	364
31	164	349
32	165	335
33	165	321
34	166	308
35	167	296
36	167	285
37	168	274
38	168	263
39	169	253
40	169	243
41	169	234
42	170	225
43	170	217
44	171	209
45	171	201
46	172	194
47	172	187
48	173	180
49	173	173
50	174	167
51	174	161
52	175	155
53	175	149
54	176	144
55	176	138
56	177	133
57	177	128
58	178	123
59	178	119
60	179	114
61	179	110
62	180	105
63	180	101
64	181	97
65	181	93
66	182	89
67	182	86
68	183	82
69	183	78
70	184	75
71	184	71
72	185	68
73	185	65
74	186	62
75	186	58
76	187	55
77	187	52
78	187	49
79	188	47
80	188	44
81	189	41
82	189	38
83	190	36
84	191	33
85	191	31
86	191	28
87	192	26
88	192	23
89	193	21
90	194	19
91	195	16
92	195	14
93	196	12
94	196	10
95	197	8
96	197	6
97	198	4
98	198	2
99	199	0
