iter	Passed	Remaining
0	133	133174
1	134	66904
2	135	44936
3	137	34122
4	137	27441
5	138	22979
6	139	19770
7	140	17369
8	140	15499
9	141	14014
10	142	12791
11	142	11770
12	143	10915
13	144	10181
14	145	9538
15	145	8974
16	146	8479
17	147	8045
18	148	7685
19	149	7347
20	150	7030
21	151	6739
22	152	6468
23	152	6219
24	153	5990
25	154	5782
26	155	5586
27	155	5404
28	156	5247
29	157	5089
30	158	4941
31	158	4802
32	159	4673
33	160	4550
34	160	4434
35	161	4325
36	162	4239
37	164	4155
38	165	4066
39	166	3985
40	166	3900
41	167	3822
42	168	3744
43	169	3679
44	170	3611
45	172	3567
46	172	3505
47	173	3444
48	174	3383
49	176	3349
50	177	3306
51	178	3253
52	179	3199
53	179	3146
54	180	3095
55	180	3049
56	181	3004
57	182	2959
58	182	2918
59	183	2877
60	184	2836
61	184	2798
62	185	2760
63	186	2724
64	186	2688
65	187	2654
66	188	2621
67	188	2588
68	189	2555
69	190	2535
70	191	2505
71	192	2476
72	192	2450
73	193	2423
74	194	2395
75	194	2368
76	195	2342
77	196	2320
78	197	2298
79	197	2273
80	198	2249
81	198	2224
82	198	2198
83	199	2175
84	200	2152
85	200	2130
86	200	2108
87	201	2087
88	201	2066
89	202	2046
90	202	2026
91	203	2007
92	203	1988
93	204	1970
94	205	1958
95	206	1945
96	207	1928
97	207	1912
98	208	1896
99	208	1879
100	209	1863
101	209	1848
102	210	1832
103	210	1817
104	211	1802
105	211	1787
106	212	1772
107	212	1758
108	213	1744
109	213	1730
110	214	1716
111	214	1703
112	215	1690
113	215	1677
114	216	1664
115	216	1652
116	217	1639
117	217	1627
118	218	1615
119	218	1604
120	219	1592
121	220	1585
122	221	1578
123	221	1568
124	222	1558
125	223	1548
126	223	1538
127	224	1527
128	224	1517
129	225	1507
130	225	1497
131	226	1487
132	226	1477
133	227	1468
134	227	1458
135	228	1449
136	228	1440
137	229	1431
138	229	1422
139	230	1413
140	230	1405
141	230	1395
142	231	1387
143	232	1379
144	232	1370
145	233	1363
146	233	1355
147	234	1347
148	235	1343
149	236	1337
150	236	1330
151	237	1325
152	238	1318
153	239	1313
154	240	1310
155	241	1304
156	241	1297
157	242	1290
158	242	1282
159	243	1275
160	243	1268
161	243	1261
162	244	1254
163	244	1248
164	245	1241
165	245	1235
166	246	1229
167	246	1223
168	247	1216
169	247	1210
170	248	1204
171	248	1198
172	250	1196
173	251	1192
174	251	1187
175	252	1181
176	253	1177
177	253	1172
178	254	1167
179	255	1162
180	255	1156
181	256	1150
182	256	1145
183	257	1139
184	257	1134
185	257	1129
186	258	1123
187	258	1118
188	259	1113
189	260	1108
190	260	1103
191	261	1098
192	261	1093
193	261	1088
194	262	1083
195	263	1078
196	263	1074
197	264	1069
198	264	1065
199	265	1063
200	266	1059
201	267	1055
202	267	1051
203	268	1046
204	268	1042
205	269	1037
206	269	1033
207	270	1028
208	270	1024
209	271	1019
210	271	1015
211	272	1011
212	272	1007
213	273	1003
214	273	999
215	274	994
216	274	990
217	275	986
218	275	982
219	276	978
220	276	974
221	277	970
222	277	967
223	278	963
224	279	963
225	280	961
226	281	958
227	282	955
228	282	952
229	283	949
230	284	945
231	284	943
232	285	940
233	286	937
234	286	933
235	287	929
236	287	926
237	288	922
238	288	918
239	289	915
240	289	911
241	290	908
242	290	905
243	291	901
244	291	898
245	292	895
246	292	892
247	294	892
248	295	891
249	296	888
250	296	885
251	297	882
252	297	879
253	298	876
254	298	873
255	299	870
256	299	867
257	300	864
258	300	860
259	301	857
260	301	854
261	302	851
262	302	848
263	303	845
264	303	842
265	304	839
266	304	837
267	305	834
268	305	831
269	306	828
270	306	825
271	307	822
272	308	821
273	309	819
274	310	817
275	310	814
276	311	812
277	311	809
278	312	806
279	312	804
280	313	801
281	313	798
282	314	796
283	314	793
284	315	790
285	315	788
286	316	785
287	316	782
288	317	780
289	317	777
290	318	775
291	318	772
292	319	770
293	319	767
294	320	765
295	320	762
296	321	760
297	321	757
298	322	755
299	323	754
300	324	752
301	325	751
302	325	748
303	326	746
304	326	744
305	327	741
306	327	739
307	328	737
308	328	734
309	329	732
310	329	730
311	330	727
312	330	725
313	331	723
314	331	721
315	332	718
316	332	716
317	333	714
318	333	712
319	334	710
320	334	708
321	335	705
322	335	703
323	336	701
324	336	699
325	337	697
326	338	695
327	339	694
328	339	692
329	340	690
330	340	688
331	341	687
332	342	685
333	342	683
334	343	680
335	343	678
336	344	676
337	344	674
338	345	672
339	345	671
340	346	669
341	346	667
342	347	665
343	347	663
344	348	661
345	348	659
346	349	657
347	349	655
348	350	653
349	350	651
350	351	649
351	351	647
352	352	646
353	353	645
354	354	644
355	355	642
356	355	640
357	356	638
358	356	636
359	357	634
360	357	633
361	358	631
362	358	629
363	359	627
364	359	625
365	360	623
366	360	621
367	361	620
368	361	618
369	362	617
370	363	615
371	363	614
372	364	612
373	364	610
374	365	608
375	365	607
376	366	605
377	367	604
378	367	602
379	368	601
380	369	599
381	370	598
382	370	597
383	371	595
384	371	593
385	372	592
386	373	590
387	373	589
388	374	588
389	374	586
390	375	584
391	376	583
392	376	581
393	377	580
394	377	578
395	378	576
396	378	575
397	379	573
398	379	571
399	380	570
400	380	568
401	381	566
402	381	565
403	382	564
404	383	563
405	384	562
406	384	560
407	385	559
408	386	558
409	387	557
410	388	556
411	388	554
412	389	553
413	389	551
414	390	550
415	390	548
416	391	546
417	391	545
418	392	543
419	392	542
420	393	540
421	393	539
422	394	537
423	394	536
424	395	534
425	395	533
426	396	531
427	397	531
428	398	530
429	398	528
430	399	527
431	400	526
432	400	524
433	401	523
434	402	522
435	402	520
436	403	519
437	403	517
438	404	516
439	404	515
440	405	513
441	405	512
442	406	510
443	406	509
444	407	507
445	407	506
446	408	504
447	408	503
448	409	501
449	409	500
450	410	499
451	410	497
452	411	496
453	412	495
454	413	494
455	413	493
456	414	492
457	414	491
458	415	489
459	416	488
460	416	486
461	416	485
462	417	484
463	418	482
464	418	481
465	419	480
466	419	479
467	420	477
468	420	476
469	421	475
470	421	473
471	422	472
472	422	470
473	423	469
474	423	468
475	424	466
476	424	465
477	425	464
478	425	462
479	426	461
480	427	461
481	428	460
482	429	459
483	429	458
484	430	457
485	431	455
486	431	454
487	432	453
488	432	452
489	433	450
490	433	449
491	434	448
492	434	446
493	434	445
494	435	444
495	435	442
496	436	441
497	436	440
498	437	439
499	438	438
500	438	436
501	439	435
502	439	434
503	440	433
504	440	431
505	441	431
506	442	430
507	443	429
508	444	428
509	444	427
510	445	425
511	445	424
512	446	423
513	446	422
514	447	421
515	447	419
516	448	418
517	448	417
518	448	416
519	449	414
520	450	413
521	450	412
522	450	411
523	451	410
524	451	408
525	452	407
526	452	406
527	453	405
528	453	404
529	454	402
530	454	401
531	455	400
532	455	399
533	457	398
534	458	398
535	458	397
536	459	396
537	459	394
538	460	393
539	460	392
540	461	391
541	461	390
542	462	389
543	462	388
544	463	386
545	463	385
546	464	384
547	464	383
548	465	382
549	465	381
550	466	380
551	466	378
552	467	377
553	467	376
554	468	375
555	468	374
556	469	373
557	469	372
558	470	371
559	471	370
560	472	370
561	473	369
562	474	368
563	475	367
564	475	366
565	476	365
566	476	364
567	477	363
568	478	362
569	478	361
570	479	360
571	479	358
572	480	357
573	480	356
574	481	355
575	481	354
576	482	353
577	482	352
578	483	351
579	483	350
580	484	349
581	484	348
582	485	346
583	486	346
584	487	345
585	488	344
